"YEAR","INDICATOR_NAME","DATA_VALUE"
2004,"Spring_Wind_Direction_Kodiak_Satellite",87.6117426257294
2005,"Spring_Wind_Direction_Kodiak_Satellite",54.2471135227174
2006,"Spring_Wind_Direction_Kodiak_Satellite",65.2881840844389
2007,"Spring_Wind_Direction_Kodiak_Satellite",NA
2008,"Spring_Wind_Direction_Kodiak_Satellite",NA
2009,"Spring_Wind_Direction_Kodiak_Satellite",60.3779915571086
2010,"Spring_Wind_Direction_Kodiak_Satellite",66.5707483149929
2011,"Spring_Wind_Direction_Kodiak_Satellite",81.1671489068023
2012,"Spring_Wind_Direction_Kodiak_Satellite",52.0667535871485
2013,"Spring_Wind_Direction_Kodiak_Satellite",12.2989772037626
2014,"Spring_Wind_Direction_Kodiak_Satellite",95.1906119270874
2015,"Spring_Wind_Direction_Kodiak_Satellite",118.408908080571
2016,"Spring_Wind_Direction_Kodiak_Satellite",88.1255614392182
2017,"Spring_Wind_Direction_Kodiak_Satellite",70.0380782291556
2018,"Spring_Wind_Direction_Kodiak_Satellite",NA
2019,"Spring_Wind_Direction_Kodiak_Satellite",76.5711014910947
2020,"Spring_Wind_Direction_Kodiak_Satellite",53.6126527580278
2021,"Spring_Wind_Direction_Kodiak_Satellite",45.8381073397373
2022,"Spring_Wind_Direction_Kodiak_Satellite",62.8783602272004
2023,"Spring_Wind_Direction_Kodiak_Satellite",52.4907374564992
2024,"Spring_Wind_Direction_Kodiak_Satellite",89.1793567374892
